x_pos,y_pos,s0,s1,s2,s3,s4,s5,s6,s7
8.050000000000000711e+00,2.049999999999999822e+00,-2.340714285714286594e-02,-2.174999999999963855e-03,-9.666666666661901655e-04,5.074999999999496580e-03,-4.557142857142386719e-03,-4.142857142857638052e-04,-1.957499999999997090e-02,2.060812499999999936e-01
8.449999999999999289e+00,2.049999999999999822e+00,-4.350000000000017047e-02,-1.280833333333397661e-02,-1.242857142857291524e-03,-5.385714285714675656e-03,1.449999999999877385e-03,1.139285714285749075e-02,-1.885000000000025544e-02,2.317583333333332052e-01
9.050000000000000711e+00,2.049999999999999822e+00,-3.431666666666780691e-02,-3.770000000000450942e-03,-2.220446049250313081e-16,-4.591666666666327501e-03,4.833333333333318833e-03,-2.658333333333059208e-03,-1.719285714285691616e-02,2.846833333333333438e-01
9.449999999999999289e+00,2.049999999999999822e+00,-2.672142857142948205e-02,-8.907142857142653566e-03,-1.159999999998717612e-03,-3.480000000000060736e-03,2.960594732333750610e-16,-9.666666666670783439e-04,-1.905714285714310563e-02,3.055357142857140218e-01
1.005000000000000071e+01,2.049999999999999822e+00,-2.175000000000023095e-02,-1.450000000000017941e-02,-8.285714285722889372e-04,4.557142857143148262e-03,-5.385714285714422386e-03,-2.278571428571701200e-03,-2.485714285714278257e-02,3.264916666666669021e-01
1.044999999999999929e+01,2.049999999999999822e+00,-4.349999999999336169e-03,-1.073000000000092803e-02,-2.416666666666659417e-03,-3.521428571429246427e-03,-2.900000000000050541e-03,-8.285714285712739071e-04,-1.321111111111012565e-02,3.310142857142859829e-01
1.105000000000000071e+01,2.049999999999999822e+00,2.658333333333651183e-03,-2.348999999999961188e-02,-1.864285714285683366e-03,1.242857142856783901e-03,1.208333333333181823e-03,-2.175000000000260059e-03,-1.802142857142869509e-02,3.196214285714284453e-01
1.144999999999999929e+01,2.049999999999999822e+00,4.350000000000875736e-03,-1.232499999999969731e-02,-1.208333333333181823e-03,3.624999999995992539e-04,-7.250000000000866862e-04,4.349999999999505304e-03,-1.764166666666699967e-02,3.123714285714288552e-01
1.205000000000000071e+01,2.049999999999999822e+00,2.948333333333360076e-02,-1.470714285714258551e-02,-3.314285714286110442e-03,2.071428571428818918e-03,8.285714285710200954e-04,1.657142857142293894e-03,-2.223333333333303227e-02,2.949714285714288287e-01
1.244999999999999929e+01,2.049999999999999822e+00,4.954166666666726115e-02,-1.768999999999927228e-02,-4.639999999999843902e-03,-4.350000000000815888e-03,-5.256250000000184386e-03,-5.220000000000268696e-03,-1.993750000000016342e-02,2.666187500000001265e-01
